data_source,matrix_size,n,m,rank,sampler,seed,final_error,final_relative_error,total_runtime,avg_iter_time,total_nnls_time,total_qubo_build_time,total_annealing_time,total_postprocess_time,num_qubo_solves,avg_qubo_solve_time,feasible,note
synthetic,100x100,100,100,2,path_integral,42,2.122786525709745e-14,2.976878610974543e-16,1.1701860000612214,0.07801240000408143,0.008670249138958752,0.009888161439448595,1.149796239566058,0.0008780229836702347,1500,0.000766530826377372,,
synthetic,100x100,100,100,2,path_integral,43,1.6956718906222287e-14,2.447404315688593e-16,1.1601292920531705,0.0773419528035447,0.008328667026944458,0.009388192440383136,1.14057578984648,0.0008795281173661351,1500,0.0007603838598976533,,
synthetic,100x100,100,100,2,path_integral,44,1.7439978134078984e-14,2.543554752559594e-16,1.1624433329561725,0.07749622219707816,0.009053415968082845,0.009711798280477524,1.141636244719848,0.0009361796546727419,1500,0.000761090829813232,,
synthetic,100x100,100,100,5,path_integral,42,3.0716008711879914e-14,2.2771299084073976e-16,3.9413867079420015,0.2627591138628001,0.0141304568387568,0.019751707557588816,3.905257915146649,0.001139792730100453,1500,0.0026035052767644324,,
synthetic,100x100,100,100,5,path_integral,43,3.256898755748292e-14,2.1231874951637245e-16,3.948711875011213,0.26324745833408086,0.013048541266471148,0.019550886237993836,3.913894137367606,0.0011076353257521987,1500,0.0026092627582450707,,
synthetic,100x100,100,100,5,path_integral,44,3.301735434135087e-14,2.2573480294933684e-16,3.8965596669586375,0.2597706444639092,0.013826209004037082,0.0190516080474481,3.861438831547275,0.001108921249397099,1500,0.00257429255436485,,
synthetic,100x100,100,100,10,path_integral,42,5.364430980128802,0.020279154757938574,11.806931792059913,0.7871287861373275,0.028219460044056177,0.04058521206025034,11.735454443492927,0.0014294328866526484,1500,0.007823636295661952,,
synthetic,100x100,100,100,10,path_integral,43,10.275858191457694,0.03675842212288963,11.692640541004948,0.7795093694003299,0.029144291882403195,0.03977848496288061,11.621141393319704,0.0013704882003366947,1500,0.007747427595546469,,
synthetic,100x100,100,100,10,path_integral,44,8.269977602201045,0.029894757311446904,11.792244416079484,0.7861496277386323,0.02885366789996624,0.04131975572090596,11.719349815975875,0.001407601754181087,1500,0.00781289987731725,,
movielens,30x30,30,30,2,simulated_annealing,42,40.977488134879486,0.3679590337189954,0.16008149995468557,0.010672099996979038,0.002414416056126356,0.0020189383067190647,0.15506776934489608,0.0002363288076594472,450,0.00034459504298865794,,
movielens,30x30,30,30,2,simulated_annealing,43,40.60857383529569,0.36464635264998596,0.16138812503777444,0.010759208335851629,0.002482459880411625,0.0020475733326748013,0.1562579122837633,0.00023575383238494396,450,0.00034723980507502954,,
movielens,30x30,30,30,2,simulated_annealing,44,40.98404594147476,0.3680179198120173,0.15900112502276897,0.010600075001517932,0.0024090028600767255,0.0019333554664626718,0.1541083116317168,0.00022082007490098476,450,0.0003424629147371484,,
movielens,30x30,30,30,5,simulated_annealing,42,33.88987579263349,0.3043155282839268,0.25066716701257974,0.016711144467505316,0.0032049177680164576,0.003642068593762815,0.24306556687224656,0.000292452285066247,450,0.0005401457041605479,,
movielens,30x30,30,30,5,simulated_annealing,43,34.71800936708006,0.3117517876476198,0.2353937920415774,0.015692919469438495,0.0031517930328845978,0.0035717346472665668,0.22800314286723733,0.00025734701193869114,450,0.0005066736508160829,,
movielens,30x30,30,30,5,simulated_annealing,44,33.97251176089856,0.30505756134688966,0.24434316693805158,0.016289544462536772,0.0031960821943357587,0.003480305662378669,0.23706672503612936,0.0002377737546339631,450,0.0005268149445247319,,
movielens,50x50,50,50,2,simulated_annealing,42,74.07835598706063,0.4095290255790627,0.2831645419355482,0.018877636129036545,0.0040282480185851455,0.0041216223035007715,0.27406113129109144,0.0004222053103148937,750,0.0003654148417214553,,
movielens,50x50,50,50,2,simulated_annealing,43,74.16469356942939,0.41000632755893524,0.2700939169153571,0.018006261127690475,0.003889250918291509,0.00391626893542707,0.26135931338649243,0.00038873334415256977,750,0.00034847908451532324,,
movielens,50x50,50,50,2,simulated_annealing,44,74.04840969775532,0.40936347284081004,0.2660069999983534,0.017733799999890228,0.003955999272875488,0.0037020251620560884,0.2574913772987202,0.00039049750193953514,750,0.00034332183639829356,,
movielens,50x50,50,50,5,simulated_annealing,42,65.83467602545325,0.3639553060103885,0.42775591707322747,0.028517061138215165,0.005450251046568155,0.006901718210428953,0.4143122967798263,0.0004203557036817074,750,0.0005524163957064351,,
movielens,50x50,50,50,5,simulated_annealing,43,67.16071421673142,0.3712860724821718,0.4375549170654267,0.02917032780436178,0.005630958825349808,0.007312790723517537,0.42356223973911256,0.00045340287033468485,750,0.0005647496529854834,,
movielens,50x50,50,50,5,simulated_annealing,44,66.39045552834597,0.3670278342168221,0.40396983292885125,0.02693132219525675,0.005749122938141227,0.0064470135839655995,0.390825588372536,0.0004102700622752309,750,0.0005211007844967147,,
movielens,100x100,100,100,2,simulated_annealing,42,171.82539173128418,0.5135756102839469,0.5406825420213863,0.03604550280142575,0.008316166000440717,0.00821344368159771,0.5224591615842655,0.0007868227548897266,1500,0.00034830610772284366,,
movielens,100x100,100,100,2,simulated_annealing,43,172.70560705369215,0.516206520167708,0.5499408749165013,0.036662724994433425,0.008534583146683872,0.008416271535679698,0.531342065311037,0.0007619399111717939,1500,0.00035422804354069134,,
movielens,100x100,100,100,2,simulated_annealing,44,172.71111910255152,0.5162229953453772,0.730342875001952,0.048689525000130136,0.010636876919306815,0.011558111058548093,0.7060211101779714,0.0009972890838980675,1500,0.0004706807401186476,,
movielens,100x100,100,100,5,simulated_annealing,42,157.5034362817058,0.47076815943884853,0.9331389169674367,0.062209261131162444,0.014159538084641099,0.01571215596050024,0.9005897730821744,0.0016209101304411888,1500,0.0006003931820547829,,
movielens,100x100,100,100,5,simulated_annealing,43,156.35439497230612,0.4673337450850068,0.8844609169755131,0.05896406113170087,0.013647207641042769,0.016030531376600266,0.8526575487339869,0.0009095035493373871,1500,0.000568438365822658,,
