method,k,gamma,silhouette,davies_bouldin
qlloyd_medoid,11,2.5,0.05028834542655208,6.312582672163551
qlloyd_medoid,5,3.0,0.050244746823074754,11.006733143533186
agglo_average,4,3.0,0.050137311095348476,2.124644841699449
qlloyd_mean,7,2.0,0.050085323805658125,5.836485779370942
qlloyd_medoid,12,2.0,0.04967365799302158,12.213153881897926
agglo_average,4,6.0,0.049623444171088237,2.2154610897004328
qlloyd_medoid,12,8.0,0.049592543273339264,3.12683363974865
qlloyd_medoid,5,8.0,0.04935188412298411,2.9601389975785355
agglo_average,5,2.5,0.04898271719800338,3.6247994733613793
qlloyd_mean,4,3.0,0.04880180458631365,1.7980590541499524
qlloyd_medoid,9,2.25,0.04858354712024946,36.54624246157809
qlloyd_mean,4,4.0,0.04842641526204794,2.0529362387549246
qlloyd_mean,10,2.0,0.048366855872251424,5.924769127029109
agglo_average,8,2.0,0.047740361521870715,5.91632826658751
qlloyd_medoid,4,3.0,0.047097968914788124,1.8314276244588927
qlloyd_mean,6,2.5,0.04709342371979009,4.325272617674948
qlloyd_mean,11,1.75,0.04708502175206906,8.03051861575192
agglo_average,6,2.25,0.046824503577622884,3.9617682477929144
agglo_average,7,2.0,0.045881319044857385,5.130532109923753
qlloyd_mean,12,1.75,0.04575007564397518,11.94223999814927
qlloyd_medoid,11,2.25,0.04512709725941336,7.050310237925833
qlloyd_mean,5,2.5,0.044698585885153526,3.7248391876117446
qlloyd_medoid,5,2.5,0.04439909490215074,3.149864825125012
agglo_average,4,2.5,0.044245503163331465,2.749514106612184
qlloyd_medoid,8,2.5,0.043201239733419,5.560698587464483
qlloyd_medoid,6,2.25,0.043184002307855435,4.561824263608773
agglo_average,5,2.25,0.04314490620653106,2.7041778472775295
qlloyd_medoid,5,5.0,0.04229144922044932,2.048766459179212
qlloyd_medoid,5,6.0,0.04223908186297232,1.851139430700923
qlloyd_mean,6,2.25,0.041653772202619115,6.07042417911354
qlloyd_medoid,11,2.0,0.04161883538563567,7.2678509314564455
qlloyd_medoid,7,2.5,0.04123023903568197,4.990141380987242
qlloyd_mean,4,2.5,0.041063257154577516,2.9265609983401215
agglo_average,12,1.75,0.04034161558767988,13.529258886962074
qlloyd_medoid,9,2.0,0.039535242577059926,12.821455408318227
agglo_average,11,1.75,0.03946266333826702,13.726919471779405
qlloyd_medoid,4,2.5,0.03943173486574079,2.2549802155200527
qlloyd_mean,5,2.25,0.0390856545451007,6.054214321133195
agglo_average,6,2.0,0.038934573564240155,4.169267040557158
agglo_average,4,2.25,0.03868437567544328,2.438939687587032
qlloyd_mean,10,1.75,0.03846572385781695,7.683807139375095
qlloyd_medoid,6,2.0,0.03813942856054295,5.088682505076183
qlloyd_medoid,10,2.0,0.037852331511509664,13.525975766067793
agglo_average,10,1.75,0.03772204989620277,16.249586567240527
qlloyd_mean,4,2.25,0.03673595399680114,5.028353585079659
qlloyd_medoid,8,2.25,0.03665474522264169,9.631114317202744
qlloyd_mean,7,1.75,0.036490869628228326,7.464812754137594
qlloyd_medoid,12,1.75,0.03646366196170982,19.369853984122205
agglo_average,5,2.0,0.035840720460363976,4.261011531378859
agglo_average,9,1.75,0.035708137816894574,13.773198030748595
qlloyd_medoid,4,2.25,0.03470271755042106,2.940715127122151
qlloyd_mean,6,2.0,0.03447708146376885,5.578290542412021
agglo_average,8,1.75,0.034312790309867246,15.019789603117731
qlloyd_medoid,7,2.25,0.0343119884333325,4.177423911459631
qlloyd_mean,5,2.0,0.033650990661798615,9.063213123975075
qlloyd_mean,5,1.75,0.0333417942749081,3.2584544485017033
qlloyd_medoid,11,1.75,0.03314399569073804,9.882871312397798
qlloyd_medoid,10,1.75,0.03308676474805081,10.668314042109179
agglo_average,7,1.75,0.0330530750301165,8.466429820793708
agglo_average,4,2.0,0.03268481452556121,2.8256541951345953
